    0.0000000000000000E+00     0.0000000000000000E+00     0.0000000000000000E+00     0.0000000000000000E+00     0.0000000000000000E+00
    3.5014233445787875E-05     1.0000000000002585E+00     3.5014233445787827E-05     0.0000000000000000E+00     0.0000000000000000E+00
    7.0028466891565260E-05     9.9999999999995348E-01     7.0028466891565151E-05     0.0000000000000000E+00     0.0000000000000000E+00
    1.0504270033734260E-04     9.9999999999995814E-01     1.0504270033734245E-04     0.0000000000000000E+00     0.0000000000000000E+00
    1.4005693378313496E-04     1.0000000000003821E+00     1.4005693378313477E-04     0.0000000000000000E+00     0.0000000000000000E+00
    1.7507116722893258E-04     1.0000000000005294E+00     1.7507116722893234E-04     0.0000000000000000E+00     0.0000000000000000E+00
    2.1008540067473261E-04     1.0000000000006084E+00     2.1008540067473232E-04     0.0000000000000000E+00     0.0000000000000000E+00
    2.4509963412051969E-04     1.0000000000002420E+00     2.4509963412051931E-04     0.0000000000000000E+00     0.0000000000000000E+00
    2.8011386756630565E-04     1.0000000000002021E+00     2.8011386756630522E-04     0.0000000000000000E+00     0.0000000000000000E+00
    3.1512810101209373E-04     1.0000000000002642E+00     3.1512810101209324E-04     0.0000000000000000E+00     0.0000000000000000E+00
    3.5014233445787877E-04     1.0000000000001854E+00     3.5014233445787823E-04     0.0000000000000000E+00     0.0000000000000000E+00
    3.8515656790365715E-04     9.9999999999999323E-01     3.8515656790365655E-04     0.0000000000000000E+00     0.0000000000000000E+00
    4.2017080134945862E-04     1.0000000000006519E+00     4.2017080134945797E-04     0.0000000000000000E+00     0.0000000000000000E+00
    4.5518503479524724E-04     1.0000000000002827E+00     4.5518503479524653E-04     0.0000000000000000E+00     0.0000000000000000E+00
    4.9019926824103786E-04     1.0000000000003424E+00     4.9019926824103710E-04     0.0000000000000000E+00     0.0000000000000000E+00
    5.2521350168684253E-04     1.0000000000007336E+00     5.2521350168684166E-04     0.0000000000000000E+00     0.0000000000000000E+00
    5.6022773513262616E-04     1.0000000000001383E+00     5.6022773513262529E-04     0.0000000000000000E+00     0.0000000000000000E+00
    5.9524196857840535E-04     1.0000000000000155E+00     5.9524196857840437E-04     0.0000000000000000E+00     0.0000000000000000E+00
    6.3025620202421446E-04     1.0000000000008671E+00     6.3025620202421348E-04     0.0000000000000000E+00     0.0000000000000000E+00
    6.6527043546999441E-04     1.0000000000000426E+00     6.6527043546999332E-04     0.0000000000000000E+00     0.0000000000000000E+00
    7.0028466891574963E-04     9.9999999999932632E-01     7.0028466891574855E-04     0.0000000000000000E+00     0.0000000000000000E+00
    7.3529890236154693E-04     1.0000000000005331E+00     7.3529890236154584E-04     0.0000000000000000E+00     0.0000000000000000E+00
    7.7031313580733099E-04     1.0000000000001448E+00     7.7031313580732980E-04     0.0000000000000000E+00     0.0000000000000000E+00
    8.0532736925310335E-04     9.9999999999981581E-01     8.0532736925310216E-04     0.0000000000000000E+00     0.0000000000000000E+00
    8.4034160269888644E-04     1.0000000000001290E+00     8.4034160269888525E-04     0.0000000000000000E+00     0.0000000000000000E+00
    8.7535583614466281E-04     9.9999999999992772E-01     8.7535583614466151E-04     0.0000000000000000E+00     0.0000000000000000E+00
    9.1037006959044894E-04     1.0000000000002185E+00     9.1037006959044763E-04     0.0000000000000000E+00     0.0000000000000000E+00
    9.4538430303624059E-04     1.0000000000003686E+00     9.4538430303623918E-04     0.0000000000000000E+00     0.0000000000000000E+00
    9.8039853648201718E-04     9.9999999999993450E-01     9.8039853648201566E-04     0.0000000000000000E+00     0.0000000000000000E+00
    1.0154127699277993E-03     1.0000000000000961E+00     1.0154127699277978E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.0504270033735857E-03     1.0000000000002174E+00     1.0504270033735842E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.0854412368193512E-03     9.9999999999962874E-01     1.0854412368193496E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.1204554702651563E-03     1.0000000000007505E+00     1.1204554702651545E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.1554697037109551E-03     1.0000000000005680E+00     1.1554697037109533E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.1904839371567443E-03     1.0000000000003126E+00     1.1904839371567426E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.2254981706025397E-03     1.0000000000004641E+00     1.2254981706025380E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.2605124040483311E-03     1.0000000000003613E+00     1.2605124040483294E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.2955266374941219E-03     1.0000000000003433E+00     1.2955266374941202E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.3305408709399077E-03     1.0000000000001981E+00     1.3305408709399058E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.3655551043856853E-03     9.9999999999995970E-01     1.3655551043856833E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.4005693378314722E-03     1.0000000000002403E+00     1.4005693378314702E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.4355835712772714E-03     1.0000000000005826E+00     1.4355835712772695E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.4705978047230509E-03     1.0000000000000258E+00     1.4705978047230488E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.5056120381688200E-03     9.9999999999971922E-01     1.5056120381688179E-03     0.0000000000000000E+00     0.0000000000000000E+00
    1.5406262716146091E-03     1.0000000000003006E+00     1.5406262716146069E-03     0.0000000000000000E+00     0.0000000000000000E+00
